Name,City,Comments,Country,Date Posted,Duration,Lat,Long,Shape,SS Status,Unique ID
1000-laurel-Sleigh,laurel,The sleigh was roof high and I observed it very closely for at least 3 to 5 minutes,us,10/02/2019,180,39.09917,-76.84861,Sleigh,Closed,SS-7014
1001-federal way-cylinder,federal way,Cylindrical or cigar-shaped bright bronze object with bright orange appendage underneath stationary at 80 degrees in SE-SSE clear b,us,10/02/2019,30,47.32250,-122.31139,cylinder,Active,SS-7355
1002-gresham-changing,gresham,watched a black object float across the sky level while appearing to rotate on 3 axis seperate into 2 objects reconnect and then slow,us,10/02/2019,1500,45.49833,-122.43028,changing,Active,SS-7356
1003-center moriches-light,center moriches,4 or 5 lights on an angle,us,10/02/2019,7,40.80028,-72.79028,light,Closed,SS-7353
1004-bryan-triangle,bryan,Moving northwest to southeast silently moving triangle shape. Blocked stars from view as if it were a triangular shadow moving across,us,10/02/2019,15,30.67417,-96.36972,triangle,Active,SS-7354
1005-vancouver-diamond,vancouver,I thought it was a star,us,10/02/2019,60,45.63889,-122.66028,diamond,Active,SS-7351
1006-mukilteo-Sleigh,mukilteo,The sleigh was roof high and I observed it very closely for at least 3 to 5 minutes,us,10/02/2019,3,47.94472,-122.30333,Sleigh,Closed,SS-7352
1007-santa rosa-Sleigh,santa rosa,The sleigh was roof high and I observed it very closely for at least 3 to 5 minutes,us,10/02/2019,7,38.44056,-122.71333,Sleigh,Active,SS-7349
1008-daytontrotwoodwest carrollton-triangle,daytontrotwoodwest carrollton,While out driving along a country road my brothersister in lawand I observed five triangles flying from the west heading north.  One,us,10/02/2019,1200,0.00000,0.00000,triangle,Active,SS-7350
1009-nampa-Sleigh,nampa,Witnessed white contrail that appeared to go from level flight to straight down.  Contrail actually indicated 90 degree turn S to W to,us,10/02/2019,45,43.54083,-116.56250,Sleigh,Pending,SS-7347
100-walla walla-triangle,walla walla,The object moved up down hovered then left with extreme speed on a huge trajectory up into space.  We followed it on a surveyors tr,us,11/01/2018,1200,46.06472,-118.34194,triangle,Active,SS-8233
1010-pomona-light,pomona,object was heading north toward mt.baldyreversed course(on a dime)headed south traversed the sky.about a fist away from moon it zig za,us,10/02/2019,120,34.05528,-117.75139,light,Active,SS-7348
1011-rushville-fireball,rushville,orange light moving across sky and stops and exlpodes into a fireball and disappears,us,10/02/2019,20,40.12111,-90.56306,fireball,Active,SS-7345
1012-rushville-light,rushville,4 orange lights luminating in sky and disappearing,us,10/02/2019,2700,40.12111,-90.56306,light,Pending,SS-7346
1013-nampa-triangle,nampa,I witnessed a very large triangle moveing very slow heading northeast torward northern oregon. It had a white blinking light on each co,us,10/02/2019,180,43.54083,-116.56250,triangle,Pending,SS-7343
1014-cedar rapids-Sleigh,cedar rapids,Looking west at about 20-30 degrees up from the horizon saw strange light that appeared to be moving very slowly or hovering. Lights,us,10/02/2019,900,42.00833,-91.64389,Sleigh,Active,SS-7344
1015-elgin-disk,elgin,A ROUND DISK TYPE OBJECT WHITE(LIGHT) IN COLOR WITH WHITE &amp; ORANGE LIGHTS SURRONDING PERIMETER ABOUT 100 METERS ABOVE AND HOVERING.,us,10/02/2019,300,30.34944,-97.37000,disk,Active,SS-7342
1016-menomonie-Sleigh,menomonie,The sleigh was roof high and I observed it very closely for at least 3 to 5 minutes,us,10/02/2019,0,44.87556,-91.91917,Sleigh,Pending,SS-7341
1017-todos santos bcs (mexico)-sphere,todos santos bcs (mexico),4:00 A.M. a large white light was seen above the tallest mountain east of Todos Santos at Lat.23.30 (Tropic of Cancer) and Lon. 110.W,us,10/02/2019,80,23.44636,-110.22651,sphere,Pending,SS-7340
1018-western north carolina mountains-fireball,western north carolina mountains,I saw a brilliant flash in the southern sky going from East to West.,us,10/02/2019,5,35.75957,-79.01930,fireball,Closed,SS-7339
1019-honolulu-Sleigh,honolulu,The sleigh was roof high and I observed it very closely for at least 3 to 5 minutes,us,10/02/2019,300,21.30694,-157.85833,Sleigh,Active,SS-7338
101-ponce (puerto rico) ?-other,ponce (puerto rico) ?,Boiling back lighted clouds obscurred full moon. Then three light balls appeared less then 30 feet from me appearing as multishaft luc,us,11/01/2018,900,18.01108,-66.61406,other,Active,SS-8238
1020-boring-Sleigh,boring,The sleigh was roof high and I observed it very closely for at least 3 to 5 minutes,us,10/02/2019,180,45.43000,-122.37361,Sleigh,Active,SS-7337
10212-gb-triangle,burgess hill (uk/england),My husband was in the garden when he came rushing inside and said he had to use the phone to report something he had seen. he has an in,gb,03/11/2003,120,50.96667,-0.13333,triangle,Active,SS-8545
1021-anacoco-disk,anacoco,My wife called me to the living room to see an ornange pulsating light. I watched it for a bit and it shot straight up almost out of s,us,10/02/2019,2400,31.25194,-93.34111,disk,Active,SS-7336
10228-gb-sleigh,burgess hill (uk/england),Five circles of light undulating in the sky like a sidewinder snake,gb,03/11/2003,600,50.96667,-0.13333,sleigh,Active,SS-8540
1022-canby-Sleigh,canby,The sleigh was roof high and I observed it very closely for at least 3 to 5 minutes,us,10/02/2019,300,45.26306,-122.69139,Sleigh,Pending,SS-7335
1023-cheyenne-Sleigh,cheyenne,Seen an oject west of town at hotel it refected city lights with brown golden color moving west fast with no lights no sound and no vis,us,10/02/2019,3,41.14000,-104.81972,Sleigh,Active,SS-7334
1024-hazelwood-triangle,hazelwood,More or less triangular shaped object. Moving east to west turned wo move west to east. Slow moving. Appeared small but it was hard t,us,10/02/2019,40,38.77139,-90.37083,triangle,Closed,SS-7333
1025-phoenix-oval,phoenix,It changed colors hovered for about 10 min. then faded to a light fuzz and slowly jetted away. This repeated the exact same routine i,us,10/02/2019,3600,33.44833,-112.07333,oval,Pending,SS-7332
1026-council bluffs-flash,council bluffs,While driving home from school in Council Bluffs down Interstate 80 I observed a bright flash that streaked across the sky a great dist,us,10/02/2019,2,41.26194,-95.86083,flash,Active,SS-7331
1027-dandridge-triangle,dandridge,Watched red light grow large then disappear when I was getting into my car. Reappeared in front of me while driving I pulled over and,us,10/02/2019,600,36.01528,-83.41500,triangle,Active,SS-7330
1028-virginia beach-fireball,virginia beach,a ball of light shot over my head.,us,10/02/2019,2,36.85278,-75.97833,fireball,Active,SS-7329
1029-west manchester-changing,west manchester,My husband and I saw an object hovering in the sky north of our home at 4:15 a.m. E.S.T. September 181997 Thursday. It looked like a,us,10/02/2019,6300,38.68806,-83.60944,changing,Pending,SS-7328
102-superior-Sleigh,superior,The sleigh was roof high and I observed it very closely for at least 3 to 5 minutes,us,11/01/2018,120,46.72083,-92.10389,Sleigh,Active,SS-8231
1030-new york city (brooklyn)-Sleigh,new york city (brooklyn),I dreamed I was being whisked upward at a tremendous speed. I was frightened. In the morning I found an outline of an oval burned o,us,10/02/2019,0,40.71417,-74.00639,Sleigh,Closed,SS-7327
1031-kill devil hills-sleigh,kill devil hills,5-6 pale orange lights brightness of major Orion constellation stars  viewed at 33 dgr from horizen moving due south together for 45 dg,us,10/02/2019,10,36.03056,-75.67639,sleigh,Active,SS-7326
10327-gb-other,bonnybridge (uk/scotland),10/09/03- 20:23gmt bonnybridge Scotland- dome shape light which disapeared quickly,gb,09/12/2003,180,56.00000,-3.88333,other,Closed,SS-8543
1032-seattle-Sleigh,seattle,Watched a very bright star - planet like object for one to two minutes which remained stationary. This suddenly totally disappeared.,us,10/02/2019,120,47.60639,-122.33083,Sleigh,Active,SS-7325
1033-philadelphia-Sleigh,philadelphia,The sleigh was roof high and I observed it very closely for at least 3 to 5 minutes,us,10/02/2019,0,39.95222,-75.16417,Sleigh,Closed,SS-7324
10343-gb-disk,manchester (uk/england),It lasted 2 mins disc shaped objects flashing lights dissapeared.,gb,09/12/2003,120,53.50000,-2.21667,disk,Closed,SS-8538
10344-gb-light,fife (uk/scotland),My husband and I were looking out at the sky as it was a very clear night.I spotted a light that looked like a star movingI pointed th,gb,09/12/2003,300,56.25000,-3.16667,light,Closed,SS-8541
1034-snohomish-Sleigh,snohomish,A vehicle of some sort appeared to be over the Snohomish/Arlington area that pulsed between a red and white light. There were also one,us,10/02/2019,180,47.91306,-122.09694,Sleigh,Pending,SS-7323
1035-seattle-Sleigh,seattle,Three glowing triangular objects moved from east to west at a high rate of speed silently and in perfect sleigh.,us,10/02/2019,15,47.60639,-122.33083,Sleigh,Pending,SS-7322
1036-cleveland-Sleigh,cleveland,The sleigh was roof high and I observed it very closely for at least 3 to 5 minutes,us,10/02/2019,900,30.34111,-95.08528,Sleigh,Closed,SS-7321
1037-tampa-flash,tampa,HI PETER306AMEST DOG STARTED BARKING WENT TO FRONT DOOR APPROX 40DEG ABOVE EST HORIZ FAST MOVING LIGHT FLASHING(WHITE)TAKE CARE GOOD H,us,10/02/2019,15,27.94722,-82.45861,flash,Pending,SS-7320
10389-gb-sphere,leicester (uk/england),its the bestest sighting ive seen yet,gb,09/01/2004,300,52.66491,-1.03489,sphere,Pending,SS-8539
1038-santa barbara-disk,santa barbara,Wife saw it first looking north altitude approx. 1000-2500 feet then lost it in marine cover. Hovered slight climb hover slight cl,us,10/02/2019,1800,34.42083,-119.69722,disk,Pending,SS-7319
1039-santa barbara-other,santa barbara,I observed an object rising slowly up from about 2000 ft. until it disappeared into the low clouds.  It was star shaped and rotating.,us,10/02/2019,480,34.42083,-119.69722,other,Closed,SS-7318
103-rose-triangle,rose,Black Triangle over apple trees.,us,11/01/2018,60,43.15361,-76.87889,triangle,Pending,SS-8236
1040-bothell-light,bothell,Observed through binoculars a bright light moving from north to south at a high rate of speed.,us,10/02/2019,10,47.76250,-122.20417,light,Active,SS-7317
1041-philadelphia-Sleigh,philadelphia,Three circular craft in a triangle sleigh passed in a northerly direction,us,10/02/2019,120,39.95222,-75.16417,Sleigh,Closed,SS-7316
1042-tolono-Sleigh,tolono,The sleigh was roof high and I observed it very closely for at least 3 to 5 minutes,us,10/02/2019,4,39.98611,-88.25889,Sleigh,Active,SS-7315
1043-mission viejo-light,mission viejo,A red light about the size and shape of a star moving at about the speed of a shooting star but with no tail. As I watched it it slowed,us,10/02/2019,20,33.60000,-117.67111,light,Active,SS-7314
1044-i-80 (eastbound  m.m. 48)-Sleigh,i-80 (eastbound  m.m. 48),The sleigh was roof high and I observed it very closely for at least 3 to 5 minutes,us,10/02/2019,1200,40.74426,-112.63576,Sleigh,Active,SS-7313
10459-gb-sphere,london (uk/england),We were on a main road in London called Finchley Road there were plenty more people driving who could have seen this object. It appear,gb,09/01/2004,30,51.51412,-0.09369,sphere,Closed,SS-8536
1045-highland park-triangle,highland park,A trianular object observed hovering but wobbling and then going up at a high rate of speed.,us,10/02/2019,300,34.11194,-118.19806,triangle,Active,SS-7312
1046-hattiesburg-sphere,hattiesburg,I was watching the sky when over head I saw a Black spherical object pass over.,us,10/02/2019,10,31.32694,-89.29028,sphere,Pending,SS-7311
1047-barrington-Sleigh,barrington,The sleigh was roof high and I observed it very closely for at least 3 to 5 minutes,us,10/02/2019,15,43.22278,-71.04750,Sleigh,Active,SS-7310
1048-mesa-light,mesa,I was sitting in my back yard looking at all the airplanes when I looked south. I saw a bright light that was not seeming to move. Its,us,10/02/2019,45,33.42222,-111.82194,light,Pending,SS-7309
1049-denver-light,denver,Star like light moved about 10 moons disappeared reappeared and moved 10 more moons then disappeared again.,us,10/02/2019,40,39.73917,-104.98417,light,Closed,SS-7308
104-kyle-oval,kyle,Large lemon shaped object crossed highway 35 .Car died then object exploded about 1\2 mile away extremely bright white light no noise,us,11/01/2018,180,29.98889,-97.87694,oval,Active,SS-8234
1050-hamilton-disk,hamilton,Husband saw 1st. It was sitting still directly west of Hamilton over Bitterroot Range. As soon as he pointed it out to a friend it be,us,10/02/2019,300,46.24694,-114.15944,disk,Active,SS-7307
10513-gb-circle,chingford (london) (uk/england),Huge craft caught on CCTV,gb,09/01/2004,1800,51.62853,0.00338,circle,Pending,SS-8537
1051-indianapolis-Sleigh,indianapolis,The sleigh was roof high and I observed it very closely for at least 3 to 5 minutes,us,10/02/2019,10,39.76833,-86.15806,Sleigh,Active,SS-7306
1052-spokane-fireball,spokane,orange fireball w/short tail,us,10/02/2019,420,47.65889,-117.42500,fireball,Pending,SS-7305
10533-gb-other,glasgow (uk/scotland),The time was 7:00AM UK time of the 1 January 2004. The sky was clear and crisp and it was a beautiful morning. I was walking my dogs in,gb,03/02/2004,2,55.83333,-4.25000,other,Active,SS-8534
