City,Comments,Country,Date Posted,Duration,Lat,Long,Name,Shape,ss status
laurel,The sleigh was roof high and I observed it very closely for at least 3 to 5 minutes,us,02/10/2019 00:00,180,39.0991667,-76.8486111,1000-laurel-Sleigh,Sleigh,Closed
bremerton,Woman reports witnessing peculiar lights in W sky which suddenly disappeared from sight.  Lights looked round.,us,02/11/2019 00:00,2,47.5675,-122.6313889,1347-bremerton-Sleigh,Sleigh,Active
federal way,Woman friend  observe very large obj. in sky w/. bizarre lights.  Stationary at first then began to drift to W.  No sound.,us,02/11/2019 00:00,60,47.3225,-122.3113889,1346-federal way-Sleigh,Sleigh,Active
tampa,Nursery owner repts. peculiar ring of flattened grass on his property.  Grass had been killed earlier w/ spray but was matted down.,us,02/11/2019 00:00,0,27.9472222,-82.4586111,1344-tampa-Sleigh,Sleigh,Active
sumter,Woman repts. her husband had just witnessed two bizarre ships a round one and a long torpedo-shaped obj. pass overhead.,us,02/11/2019 00:00,20,33.9202778,-80.3416667,1345-sumter-Sleigh,Sleigh,Pending
clatonia,Woman &amp; daughter rept.  4-5 objs. with red blue and white lights.  Close to ground in fog.  Moved very fast. (No written rept.),us,02/11/2019 00:00,600,40.4652778,-96.8494444,1342-clatonia-Sleigh,Sleigh,Pending
belle fourche,MSleighN State Dir. relays rpt:  Postal empl. heading W on highway witnesses very large white w/ green tail streak vert. to horizon.,us,02/11/2019 00:00,2,44.6713889,-103.8516667,1343-belle fourche-Sleigh,Sleigh,Closed
shelton,CA woman visiting daughter witness discs and triangular ships over Squaxin Island in Puget Sound. Dramatic.,us,02/11/2019 00:00,0,47.2152778,-123.0994444,1340-shelton-Sleigh,Sleigh,Active
phoenix,4 adults see 4 lights move erratically for 35 min.  Then 5 silent boomerang ships w/ glowing silver underbellies fly by in V sleigh,us,02/11/2019 00:00,2100,33.4483333,-112.0733333,1341-phoenix-Sleigh,Sleigh,Active
reedborough,Man reports witnessing Sleigh two years prior.  (No written report.),us,02/11/2019 00:00,0,44.558803,-72.577841,1338-reedborough-Sleigh,Sleigh,Closed
pacific grove,Rept. that local police had pursued a strange obj. and incident was hushed up. (Facts unclear),us,02/11/2019 00:00,0,36.6177778,-121.9155556,1339-pacific grove-Sleigh,Sleigh,Pending
salem,Woman repts. past sighting of perfectly round red globe floated across city.  2nd one appeared.  Witnessed by reporter too.,us,02/11/2019 00:00,0,44.9430556,-123.0338889,1336-salem-sphere,sphere,Active
minneapolis,Man reports seeing 5x objects connected by a straight line sometime during l990.,us,02/11/2019 00:00,0,44.98,-93.2636111,1337-minneapolis-Sleigh,Sleigh,Active
middleville,Woman sees bright fluorescent glowing green obj. streak across the sky in dir. of airport.  Size: 1 at arms length; round. BRIGHT.,us,02/11/2019 00:00,3,42.7130556,-85.4619444,1334-middleville-Sleigh,Sleigh,Closed
seattle,Man reports sighting in l972 or 1973.  Heard woman scream turned and saw large triangular ship in sky.,us,02/11/2019 00:00,30,47.6063889,-122.3308333,1335-seattle-triangle,triangle,Active
olathe,Family repts. a stationary obj. in night sky that is flashing red blue silver.  Appears to rotate.  (Not inconsistent w/ star.),us,02/11/2019 00:00,3600,38.8813889,-94.8188889,1332-olathe-Sleigh,Sleigh,Active
