Unique ID,Complaint Description,Category,Date logged,Area Code,Ward,Country,Origin,Stage,Sub Status,Closed Successfully,Satisfaction,Within SLA,Closed date
122,My Bins werent collected and it is a huge inconveience to me. Please sort it out.,Bin Collections,01/02/2019,B26 3LB,Sheldon,UK,Phone,Stage 2,Decision Pending,FALSE,3,FALSE,04/03/2019
518,Please may I have a bigger bin,Bin Collections,01/07/2019,B28 0TR ,Hall Green,UK,Phone,Stage 2,Closed,TRUE,1,FALSE,01/08/2019
914,You didn’t collect my recyceling last week and now I have a huge backup of waste.,Bin Collections,01/07/2019,B15 2GG,Edgbaston,UK,Chat,Stage 2,Decision Pending,FALSE,7,FALSE,01/08/2019
254,Candidate was inexperienced and unable to deliver on what was required,Bin Collections,01/07/2019,B26 3LB,Sheldon,UK,Chat,Stage 2,In Progress,FALSE,1,FALSE,01/08/2019
650,There was garbage all ove the floor when you did your last bin collection,Bin Collections,01/02/2019,B28 0TR ,Hall Green,UK,Social,Stage 2,Decision Pending,FALSE,1,FALSE,04/03/2019
386,There was garbage all over the road during the last bin collection.,Bin Collections,01/02/2019,B28 0TS ,Hall Green,UK,Web,Stage 2,Acknowledged,FALSE,1,FALSE,04/03/2019
782,I need some of those special bin bags so my colletion is a lot cleaner.,Bin Collections,01/02/2019,B17 0AN ,Harborne,UK,Phone,Stage 2,Complaint Upheld,FALSE,3,FALSE,04/03/2019
221,The bin collectors left my bins all over the pavement.,Bin Collections,01/05/2019,B16 8HY ,Edgbaston,UK,Web,Stage 1,Decision Pending,FALSE,0,FALSE,01/06/2019
617,My Bins werent collected and it is a huge inconveience to me. Please sort it out.,Bin Collections,01/05/2019,B26 1BN,Sheldon,UK,Phone,Stage 1,Acknowledged,FALSE,4,FALSE,01/06/2019
353,Please may I have a bigger bin,Bin Collections,01/05/2019,B25 8YB,Birminham City Center,UK,Letter,Stage 1,Decision Pending,FALSE,1,FALSE,01/06/2019
749,You didn’t collect my recyceling last week and now I have a huge backup of waste.,Bin Collections,01/05/2019,B28 0TT ,Hall Green,UK,Chat,Stage 1,Closed,TRUE,1,FALSE,01/06/2019
89,Candidate was inexperienced and unable to deliver on what was required,Bin Collections,01/05/2019,B17 0AP,Harborne,UK,Chat,Stage 1,Complaint Upheld,FALSE,3,FALSE,01/06/2019
485,There was garbage all ove the floor when you did your last bin collection,Bin Collections,01/07/2019,B16 8HZ,Edgbaston,UK,Social,Stage 1,In Progress,FALSE,1,FALSE,01/08/2019
881,There was garbage all over the road during the last bin collection.,Bin Collections,01/05/2019,B26 2QJ,Sheldon,UK,Phone,Stage 1,Complaint Rejected,TRUE,2,TRUE,01/06/2019
232,I need some of those special bin bags so my colletion is a lot cleaner.,Bin Collections,01/04/2019,B31 3TJ ,Birminham City Center,UK,Phone,Ombudsman,Acknowledged,FALSE,3,TRUE,02/05/2019
628,The bin collectors left my bins all over the pavement.,Bin Collections,01/04/2019,B28 0TU ,Hall Green,UK,Letter,Ombudsman,Complaint Upheld,FALSE,6,TRUE,02/05/2019
100,My Bins werent collected and it is a huge inconveience to me. Please sort it out.,Bin Collections,01/04/2019,B32 2AT ,Harborne,UK,Social,Ombudsman,In Progress,FALSE,7,TRUE,02/05/2019
496,Please may I have a bigger bin,Bin Collections,01/04/2019,B28 0TX,Hall Green,UK,Phone,Ombudsman,Complaint Rejected,TRUE,1,TRUE,02/05/2019
892,You didn’t collect my recyceling last week and now I have a huge backup of waste.,Bin Collections,01/04/2019,B26 3TH ,Sheldon,UK,Phone,Ombudsman,Decision Pending,FALSE,3,TRUE,02/05/2019
364,Candidate was inexperienced and unable to deliver on what was required,Bin Collections,01/04/2019,B31 3TL,Birminham City Center,UK,Chat,Ombudsman,Closed,FALSE,0,FALSE,02/05/2019
760,There was garbage all ove the floor when you did your last bin collection,Bin Collections,01/04/2019,B28 8LU ,Hall Green,UK,Phone,Ombudsman,Decision Pending,FALSE,10,TRUE,02/05/2019
309,There was garbage all over the road during the last bin collection.,Bin Collections,01/09/2019,B32 2AU,Harborne,UK,Chat,Stage 1,Acknowledged,FALSE,8,TRUE,02/10/2019
705,I need some of those special bin bags so my colletion is a lot cleaner.,Bin Collections,01/09/2019,B15 1QL ,Edgbaston,UK,Phone,Stage 1,Complaint Upheld,FALSE,8,TRUE,02/10/2019
177,The bin collectors left my bins all over the pavement.,Bin Collections,01/07/2019,B26 3TP ,Sheldon,UK,Phone,Stage 1,Decision Pending,FALSE,4,TRUE,01/08/2019
573,My Bins werent collected and it is a huge inconveience to me. Please sort it out.,Bin Collections,01/09/2019,B23 5LL ,Birminham City Center,UK,Letter,Stage 1,Complaint Rejected,TRUE,2,TRUE,02/10/2019
969,Please may I have a bigger bin,Bin Collections,01/09/2019,B28 8LX ,Hall Green,UK,Chat,Stage 1,Decision Pending,FALSE,8,TRUE,02/10/2019
45,You didn’t collect my recyceling last week and now I have a huge backup of waste.,Bin Collections,01/09/2019,B32 2EH ,Harborne,UK,Social,Stage 2,Decision Pending,FALSE,8,TRUE,02/10/2019
441,Candidate was inexperienced and unable to deliver on what was required,Bin Collections,01/09/2019,B15 2GG,Edgbaston,UK,Web,Stage 1,Closed,TRUE,1,TRUE,02/10/2019
837,There was garbage all ove the floor when you did your last bin collection,Bin Collections,01/09/2019,B26 3TS ,Sheldon,UK,Phone,Stage 1,Decision Pending,FALSE,4,TRUE,02/10/2019
23,There was garbage all over the road during the last bin collection.,Bin Collections,01/11/2019,B23 5LN ,Birminham City Center,UK,Phone,Stage 3,In Progress,FALSE,0,FALSE,02/12/2019
419,I need some of those special bin bags so my colletion is a lot cleaner.,Bin Collections,01/11/2019,B28 8NA ,Hall Green,UK,Chat,Stage 3,Complaint Rejected,TRUE,2,TRUE,02/12/2019
815,The bin collectors left my bins all over the pavement.,Bin Collections,01/11/2019,B32 2EL ,Harborne,UK,Social,Stage 3,Decision Pending,FALSE,1,FALSE,02/12/2019
155,My Bins werent collected and it is a huge inconveience to me. Please sort it out.,Bin Collections,01/11/2019,B16 8HY ,Edgbaston,UK,Social,Stage 3,Acknowledged,FALSE,1,FALSE,02/12/2019
551,Please may I have a bigger bin,Bin Collections,01/11/2019,B26 3TT ,Sheldon,UK,Web,Stage 3,Complaint Upheld,FALSE,1,FALSE,02/12/2019
