Return ID,Size,Gender,Item Code,Item Description,Return Description,Brand,Return Type,Date logged,City,Area Code,Origin,Stage,Sub Status,Returned Successfully,Satisfaction,Within SLA,Closed date
1,S,Men,Prod001,Blind - Branded mens Skate Shirt,The item just didn’t fit correctly and I need to exchange for a new one.,Blind,Incorrect Fitting,01/01/2019,Birmingham,B26 3LB,In Store,Stage 1,Acknowledged,FALSE,1,TRUE,16/01/2019
2,M,Women,Prod002,Santa Cruz - Branded Womens Shirt,The product was not stitched together correctly and I'd like to exchange.,Santa Cruz,Quality of Product,01/02/2019,Birmingham,B28 0TR ,Phone,Stage 2,In Progress,FALSE,0,FALSE,02/05/2019
3,L,Mixed,Prod003,World Industries - Branded Hoodie,The item was far too smal. I think the size guide is incorrect.,World Industries,Incorrect Fitting,01/03/2019,Birmingham,B15 2GG,Phone,Stage 2,Decision Pending,FALSE,5,TRUE,16/03/2019
4,XL,Men,Prod004,GAP - Mens jeans,The hems keep breaking and the belt loops do nto fit any belt.,GAP,Quality of Product,01/04/2019,Birmingham,B26 3LB,Chat,Completed,Decision Pending,FALSE,7,TRUE,16/04/2019
5,XXL,Women,Prod005,Puma - Womens Runing Leggings,The product is far too big and the waist is unreasonably small.,Puma,Incorrect Fitting,01/05/2019,Birmingham,B28 0TR ,Phone,Stage 1,Upheld,FALSE,1,FALSE,30/06/2019
6,S,Mixed,Prod006,Stussy - Fitted T Shirt,The stitched logo keeps loosing threads and is coming apart.,Stussy,Quality of Product,01/06/2019,Birmingham,B28 0TS ,In Store,Stage 2,Decision Pending,FALSE,2,TRUE,16/06/2019
7,L,Men,Prod007,Street Fashion - Black Cargo Trousers,Pockets have huge holes in them.,Street Fashion,Quality of Product,01/07/2019,Birmingham,B17 0AN ,Phone,Stage 2,Closed,TRUE,4,TRUE,16/07/2019
8,L,Women,Prod008,Tattoo - Branded Skate Dress,Print on the item is cracking badley.,Tattoo,Quality of Product,01/07/2019,Birmingham,B16 8HY ,Phone,Completed,Acknowledged,FALSE,1,FALSE,15/08/2019
9,XL,Mixed,Prod009,Thrasher - T Shirt,I realised that the product whas not what I was looking for.,Thrasher,General Return,01/09/2019,Birmingham,B26 1BN,Chat,Stage 1,Decision Pending,FALSE,8,TRUE,16/09/2019
10,XXL,Men,Prod010,Palm - Hawiaan Shirt,The product was delivered in triplicate for no reason.,Palm,Unexpected Issue,01/07/2019,Birmingham,B25 8YB,Social,Stage 2,Decision Pending,FALSE,10,TRUE,16/07/2019
11,S,Women,Prod011,JawBreaker - Alternative Dress,The dress is far too short and does not match the style guide.,JawBreaker,Incorrect Fitting,01/11/2019,Birmingham,B28 0TT ,In Store,Stage 3,Decision Pending,FALSE,1,FALSE,01/12/2019
12,M,Mixed,Prod012,Keep Calm - Skate Hoodie,The sleeves on the hoodie are very badly stitched.,Keep Calm,Quality of Product,01/12/2019,Birmingham,B17 0AP,Phone,Completed,Upheld,FALSE,3,TRUE,16/12/2019
13,L,Mixed,Prod013,Vans - Hoodie,The hoodie is not the style I expected at all.,Vans,Unexpected Issue,01/07/2019,Birmingham,B16 8HZ,Letter,Stage 2,Decision Pending,FALSE,5,TRUE,16/07/2019
14,XL,Women,Prod014,DC - Womens Skate Shoes,The shoes are great but are just not the right style.,DC,Unexpected Issue,01/02/2019,Birmingham,B26 2QJ,In Store,Stage 2,Closed,TRUE,1,FALSE,02/05/2019
15,XXL,Mixed,Prod015,Vans - Unisex Checked Shoes,These are registered as unisex but are definitly far more masculine than feminine.,Vans,Unexpected Issue,01/03/2019,Birmingham,B31 3TJ ,Social,Stage 2,Acknowledged,FALSE,8,TRUE,16/03/2019
16,S,Men,Prod002,Santa Cruz - Branded Womens Shirt,Your customer service was just inexcusibly terrible. I cant use ths product in good conscience.,Santa Cruz,Customer Service Failure,01/04/2019,Birmingham,B28 0TU ,In Store,Completed,In Progress,FALSE,2,TRUE,16/04/2019
17,M,Men,Prod001,Blind - Branded mens Skate Shirt,The item just didn’t fit correctly and I need to exchange for a new one.,Blind,General Return,01/07/2019,Birmingham,B32 2AT ,Phone,Stage 1,Decision Pending,FALSE,0,FALSE,29/09/2019
18,L,Women,Prod002,Santa Cruz - Branded Womens Shirt,The product was not stitched together correctly and I'd like to exchange.,Santa Cruz,Incorrect Fitting,01/06/2019,Birmingham,B28 0TX,Letter,Stage 2,Decision Pending,FALSE,6,TRUE,16/06/2019
19,XL,Men,Prod015,Vans - Unisex Checked Shoes,These are registered as unisex but are definitly far more masculine than feminine.,Vans,General Return,01/07/2019,Birmingham,B26 3TH ,Chat,Stage 3,Upheld,FALSE,8,TRUE,16/07/2019
20,XXL,Women,Prod002,Santa Cruz - Branded Womens Shirt,Your customer service was just inexcusibly terrible. I cant use ths product in good conscience.,Santa Cruz,Incorrect Fitting,01/08/2019,Birmingham,B31 3TL,Social,Completed,Rejected,TRUE,1,TRUE,16/08/2019
21,L,Men,Prod010,Palm - Hawiaan Shirt,The product was delivered in triplicate for no reason.,Palm,Incorrect Fitting,01/07/2019,Birmingham,B28 8LU ,Web,Stage 2,Closed,TRUE,7,TRUE,16/07/2019
22,L,Women,Prod011,JawBreaker - Alternative Dress,The dress is far too short and does not match the style guide.,JawBreaker,General Return,01/10/2019,Birmingham,B32 2AU,In Store,Stage 2,Acknowledged,FALSE,3,TRUE,16/10/2019
23,L,Mixed,Prod012,Keep Calm - Skate Hoodie,The sleeves on the hoodie are very badly stitched.,Keep Calm,Incorrect Fitting,01/11/2019,Birmingham,B15 1QL ,In Store,Stage 3,In Progress,FALSE,0,FALSE,01/12/2019
24,XL,Mixed,Prod013,Vans - Hoodie,The hoodie is not the style I expected at all.,Vans,Quality of Product,01/12/2019,Birmingham,B26 3TP ,Chat,Completed,Decision Pending,FALSE,7,TRUE,16/12/2019
25,XXL,Mixed,Prod009,Thrasher - T Shirt,I realised that the product whas not what I was looking for.,Thrasher,Incorrect Fitting,01/01/2019,Birmingham,B23 5LL ,Social,Stage 1,Decision Pending,FALSE,8,TRUE,16/01/2019
26,S,Men,Prod010,Palm - Hawiaan Shirt,The product was delivered in triplicate for no reason.,Palm,General Return,01/02/2019,Birmingham,B28 8LX ,Web,Stage 2,Upheld,FALSE,2,FALSE,02/05/2019
27,M,Women,Prod011,JawBreaker - Alternative Dress,The dress is far too short and does not match the style guide.,JawBreaker,Quality of Product,01/07/2019,Birmingham,B32 2EH ,Phone,Stage 3,Rejected,TRUE,0,TRUE,16/07/2019
28,L,Mixed,Prod012,Keep Calm - Skate Hoodie,The sleeves on the hoodie are very badly stitched.,Keep Calm,Quality of Product,01/04/2019,Birmingham,B15 2GG,In Store,Stage 2,Closed,TRUE,6,TRUE,16/04/2019
29,XL,Mixed,Prod013,Vans - Hoodie,The hoodie is not the style I expected at all.,Vans,General Return,01/05/2019,Birmingham,B26 3TS ,In Store,Stage 1,Acknowledged,FALSE,1,FALSE,30/06/2019
30,XXL,Women,Prod014,DC - Womens Skate Shoes,The shoes are great but are just not the right style.,DC,Unexpected Issue,01/06/2019,Birmingham,B23 5LN ,In Store,Stage 2,In Progress,FALSE,10,TRUE,16/06/2019
31,L,Mixed,Prod015,Vans - Unisex Checked Shoes,These are registered as unisex but are definitly far more masculine than feminine.,Vans,General Return,01/07/2019,Birmingham,B28 8NA ,Web,Stage 2,Decision Pending,FALSE,7,TRUE,16/07/2019
32,M,Men,Prod002,Santa Cruz - Branded Womens Shirt,Your customer service was just inexcusibly terrible. I cant use ths product in good conscience.,Santa Cruz,Quality of Product,01/08/2019,Birmingham,B32 2EL ,Phone,Completed,Decision Pending,FALSE,3,FALSE,30/09/2019
33,L,Men,Prod001,Blind - Branded mens Skate Shirt,The item just didn’t fit correctly and I need to exchange for a new one.,Blind,Unexpected Issue,01/07/2019,Birmingham,B16 8HY ,Letter,Stage 1,Upheld,FALSE,5,TRUE,16/07/2019
34,XL,Women,Prod002,Santa Cruz - Branded Womens Shirt,The product was not stitched together correctly and I'd like to exchange.,Santa Cruz,Unexpected Issue,01/10/2019,Birmingham,B26 3TT ,Chat,Stage 2,Rejected,TRUE,3,TRUE,16/10/2019
35,XXL,Mixed,Prod003,World Industries - Branded Hoodie,The item was far too smal. I think the size guide is incorrect.,World Industries,Unexpected Issue,01/11/2019,Birmingham,B23 5LW,Social,Stage 3,Closed,TRUE,8,TRUE,16/11/2019
36,L,Men,Prod004,GAP - Mens jeans,The hems keep breaking and the belt loops do nto fit any belt.,GAP,General Return,01/12/2019,Birmingham,B28 8NB ,In Store,Stage 2,Acknowledged,FALSE,2,TRUE,16/12/2019
37,L,Women,Prod005,Puma - Womens Runing Leggings,The product is far too big and the waist is unreasonably small.,Puma,General Return,01/01/2019,Birmingham,B32 2EP ,Phone,Stage 1,In Progress,FALSE,4,TRUE,16/01/2019
38,L,Mixed,Prod006,Stussy - Fitted T Shirt,The stitched logo keeps loosing threads and is coming apart.,Stussy,Incorrect Fitting,01/02/2019,Birmingham,B16 8HZ,In Store,Stage 2,Decision Pending,FALSE,0,FALSE,02/05/2019
